Autor;Rok;Journal;L. pacjentow;MM_SredniaRoznica;MM_SredniaRoznica_SD
Takx;2012;European Journal of Radiology;20;2,7;10,71
De Jonge;2011;European Journal of Radiology;26;1;12
Jensen;2010;European Journal of Radiology;32;0,16;5,87
Akram;2009;Cardiovasc Intervent Radiol;20;35,6;19,59
Lueders;2009;Fortschr Roentgenstr;30;-12,8;14,4
Sarwar;2009;Journal Cardiovasc CT;21;6;10,71
Vleuten;2009;European Radiology;34;0,9;15,95
Bastarrika;2008;European Radiology;12;4,21;4,03
Schlosser;2007;Acta radiologica;21;-6,2;17,4
Heuschmid;2006;Eur Radiol;52;8,2;14,2
Mahnken;2006;Eur Radiol;30;-9,5;36,73
Dewey;2006;Journal of the American College of Cardiology;88;-4,2;15,92
Raman;2006;American Heart Journal;24;-3,4;7,9
Yamamuro;2005;Radiology;50;2,5;15
Schlosser;2005;AJR;18;-11,7;15,9
Heuschmid;2005;RoeFo;31;11,9;13,8
Mahnken;2005;European Radiology;21;-4,5;25
Mahnken;2003;Acta Radiologica;15;-2,4;10,15
Mahnken;2003;RoeFo;16;-3,1;14,9
Dewey;2006;Invest Radiol;42;-2,2;13,78
Fuchs;2012;Journal Cardiovasc CT;53;6;19,9
Nicol;2009;International Journal of Cardiology;25;-0,5;11,73
